NumberTokens,FirstPerson,Enclise,Demonstrative,GrammarErrors,SentenceLong,DiscourseMarkers,SpellingCheck,FleshScore,StyleErrors,SimilarityPrompt,NumberDiffWords,FirstPersonNorm,EncliseNorm,DemonstrativeNorm,GrammarErrorsNorm,DiscourseMarkersNorm,SpellingCheckNorm,StyleErrorsNorm,IndeterminationInstrucments,FirstPersonPlural,PassiveVoice,SubordinateClause,LexicalComplexity,AnaphorPronouns,RacistTerms,SimilaritySentences,SimilaritySentencesMax,Articles,Pronouns,Adverbs,Conjunctions,ConclusionMarkers,finalgrade,filename,understandingGrade,selectinginfoGrade,showknowGrade,solutionGrade,formalGrade
269.0,2.0,1.0,0.0,0.0,4.0,7.0,2.0,9.114008,8.0,0.94853914,173.0,0.007434944000000001,0.0037174720000000003,0.0,0.0,1.75,0.007434944000000001,2.0,0.0,1.0,0.0,4.0,3.0,1.0,2.0,0.013374025,0.02602063,0.37096775,0.24193548,0.055762082000000004,0.048327137,6.0,500.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6428.xml,100.0,100.0,100.0,100.0,100.0
313.0,1.0,2.0,1.0,0.0,8.0,10.0,4.0,55.996964,7.0,0.9525328000000002,168.0,0.0031948881,0.0063897762,0.0031948881,0.0,1.25,0.0127795525,0.875,0.0,9.0,5.0,1.0,3.0,1.0,0.0,0.09013731,0.31652883,0.29850745,0.35820895,0.07348243,0.038338657000000005,3.0,550.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6548.xml,50.0,100.0,150.0,100.0,150.0
377.0,1.0,6.0,3.0,0.0,12.0,9.0,6.0,49.740826,15.0,0.9415959,191.0,0.0026525197999999997,0.01591512,0.00795756,0.0,0.75,0.01591512,1.25,3.0,0.0,1.0,2.0,10.0,4.0,0.0,0.07290237,0.21686047,0.26548672,0.15929204,0.04509284,0.037135277,5.0,800.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6549.xml,150.0,200.0,150.0,150.0,150.0
259.0,1.0,0.0,3.0,0.0,9.0,11.0,8.0,70.2654,12.0,0.9519285,138.0,0.0038610038,0.0,0.011583012,0.0,1.1,0.03088803,1.2,0.0,2.0,1.0,3.0,1.0,4.0,0.0,0.07422339,0.17296964,0.33870968,0.2580645,0.08108108,0.038610037,3.0,450.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6401.xml,100.0,100.0,100.0,100.0,50.0
382.0,0.0,0.0,1.0,0.0,10.0,10.0,10.0,51.4739,5.0,0.93669134,197.0,0.0,0.0,0.002617801,0.0,1.0,0.02617801,0.5,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.050979514000000004,0.104013324,0.28421053,0.2736842,0.057591625,0.05235602,4.0,850.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6429.xml,200.0,150.0,200.0,150.0,150.0
362.0,4.0,1.0,2.0,0.0,14.0,6.0,12.0,51.22188,2.0,0.93963397,174.0,0.011049723999999999,0.0027624309999999997,0.005524861999999999,0.0,0.42857143,0.03314917,0.14285715,1.0,2.0,1.0,1.0,2.0,2.0,3.0,0.082205705,0.1917092,0.43678162,0.22988506,0.0359116,0.03314917,3.0,700.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6398.xml,100.0,150.0,150.0,150.0,150.0
244.0,1.0,0.0,1.0,0.0,8.0,2.0,14.0,65.13418,2.0,0.9313244,140.0,0.0040983604,0.0,0.0040983604,0.0,0.25,0.057377048,0.25,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.049875385999999994,0.10341903599999999,0.23287672,0.15068494,0.020491803,0.032786882999999996,2.0,0.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6417.xml,0.0,0.0,0.0,0.0,0.0
260.0,1.0,0.0,3.0,0.0,7.0,6.0,16.0,46.635384,5.0,0.90336025,151.0,0.0038461538,0.0,0.011538462,0.0,0.85714287,0.06153846,0.71428573,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.09182132,0.17517473,0.3275862,0.5,0.06538462,0.05,1.0,600.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6403.xml,100.0,100.0,150.0,100.0,150.0
216.0,3.0,0.0,1.0,0.0,4.0,5.0,18.0,26.589996000000003,13.0,0.9431040999999999,137.0,0.013888889,0.0,0.0046296296999999995,0.0,1.0,0.083333336,2.6,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0050059236,0.04343167,0.5,0.12962963,0.06481481,0.032407407,1.0,550.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6402.xml,50.0,50.0,150.0,100.0,200.0
258.0,0.0,4.0,1.0,0.0,8.0,3.0,20.0,62.69174,6.0,0.90930223,149.0,0.0,0.015503876000000002,0.0038759690000000004,0.0,0.33333334,0.07751938,0.6666667,3.0,0.0,0.0,2.0,5.0,2.0,0.0,0.05275531,0.25823379999999996,0.32203390000000004,0.30508474,0.08527132,0.0503876,3.0,500.0,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6412.xml,100.0,100.0,100.0,100.0,100.0
