NumberTokens,FirstPerson,Enclise,Demonstrative,GrammarErrors,SentenceLong,DiscourseMarkers,SpellingCheck,FleshScore,StyleErrors,SimilarityPrompt,NumberDiffWords,FirstPersonNorm,EncliseNorm,DemonstrativeNorm,GrammarErrorsNorm,DiscourseMarkersNorm,SpellingCheckNorm,StyleErrorsNorm,IndeterminationInstrucments,FirstPersonPlural,PassiveVoice,SubordinateClause,LexicalComplexity,AnaphorPronouns,RacistTerms,SimilaritySentences,SimilaritySentencesMax,Articles,Pronouns,Adverbs,Conjunctions,ConclusionMarkers,finalGrade,filename,understandingGrade,selectinginfoGrade,showknowGrade,solutionGrade,formalGrade
498.0,2.0,2.0,2.0,0.0,17.0,15.0,2.0,80.748375,15.0,0.88350946,273.0,0.004016064000000001,0.004016064000000001,0.004016064000000001,0.0,0.6818181999999999,0.004016064000000001,0.6818181999999999,1.0,1.0,8.0,2.0,5.0,1.0,2.0,0.08598478,0.21288536,0.3761468,0.40366971,0.098393574,0.036144577000000004,3.0,800.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/quem-e-o-vilao-da-vez.xml,200.0,150.0,200.0,150.0,100.0
255.0,3.0,2.0,6.0,0.0,8.0,9.0,4.0,75.86412,7.0,0.8756459000000001,152.0,0.011764706000000002,0.007843138000000001,0.023529412000000003,0.0,0.8181818000000001,0.015686275,0.6363635999999999,2.0,0.0,2.0,2.0,9.0,5.0,0.0,0.09794994,0.24886256,0.31914893,0.5319149000000001,0.08627451,0.07058824,2.0,250.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/justica-com-as-proprias-maos.xml,50.0,50.0,50.0,50.0,50.0
228.0,0.0,1.0,1.0,0.0,9.0,5.0,6.0,68.06553000000001,5.0,0.90035874,139.0,0.0,0.004385965,0.004385965,0.0,0.5,0.02631579,0.5,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.07931623,0.18187262,0.32786885,0.19672132,0.06140351,0.030701755,5.0,350.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/bandido-problema-cultural-brasileiro.xml,100.0,50.0,50.0,50.0,100.0
245.0,0.0,3.0,1.0,0.0,10.0,4.0,8.0,81.69622,4.0,0.8795018,131.0,0.0,0.012244898,0.0040816325,0.0,0.26666668,0.03265306,0.26666668,3.0,0.0,0.0,3.0,5.0,1.0,0.0,0.07625609,0.515878,0.44,0.28,0.08979592,0.06122449,4.0,500.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/policia-e-bandido-violencia-no-seculo-xxi.xml,100.0,100.0,100.0,100.0,100.0
323.0,1.0,1.0,2.0,0.0,7.0,8.0,10.0,58.94088000000001,10.0,0.8685806,175.0,0.0030959751,0.0030959751,0.0061919503,0.0,1.0,0.030959751,1.25,1.0,0.0,3.0,2.0,4.0,3.0,2.0,0.11536729,0.20298316,0.1368421,0.28421053,0.05882353,0.024767801000000002,1.0,550.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/as-chacinas-em-sao-paulo.xml,150.0,150.0,100.0,0.0,150.0
274.0,0.0,0.0,1.0,0.0,10.0,6.0,12.0,84.12446,10.0,0.86935127,154.0,0.0,0.0,0.003649635,0.0,0.42857143,0.04379562,0.71428573,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.051290847,0.13786600000000002,0.2835821,0.26865673,0.047445256,0.047445256,1.0,300.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/bandido-bom-e-bandido-recuperado.xml,50.0,50.0,50.0,50.0,100.0
321.0,0.0,2.0,3.0,0.0,9.0,4.0,14.0,54.680369999999996,6.0,0.8903552,182.0,0.0,0.0062305293999999995,0.009345794000000001,0.0,0.36363637,0.043613705999999995,0.54545456,2.0,0.0,6.0,2.0,5.0,3.0,2.0,0.04879526,0.118831344,0.21794872,0.37179488,0.08099688599999999,0.037383176000000004,7.0,750.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/bandido-bom-e-bandido-preso.xml,200.0,100.0,150.0,150.0,150.0
204.0,3.0,0.0,0.0,0.0,6.0,3.0,16.0,51.85883,1.0,0.8917367,114.0,0.014705882,0.0,0.0,0.0,0.42857143,0.078431375,0.14285715,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.07243898,0.26719585,0.42,0.26,0.068627454,0.05392157,3.0,250.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/diminuindo-a-criminalidade-de-forma-eficaz.xml,50.0,50.0,50.0,50.0,50.0
206.0,2.0,0.0,2.0,0.0,8.0,6.0,18.0,63.465194999999994,3.0,0.91236866,112.0,0.009708738,0.0,0.009708738,0.0,0.6666667,0.08737864,0.33333334,0.0,0.0,3.0,2.0,6.0,2.0,0.0,0.15274647,0.44361746,0.3809524,0.35714287,0.053398058,0.058252427999999995,3.0,700.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/o-falso-conceito-de-bandido.xml,150.0,150.0,150.0,100.0,150.0
376.0,0.0,6.0,1.0,0.0,11.0,15.0,20.0,61.1,7.0,0.8791722,201.0,0.0,0.015957447,0.0026595744,0.0,1.3636363999999999,0.05319149,0.6363635999999999,4.0,0.0,0.0,2.0,12.0,1.0,0.0,0.04638939,0.14779827,0.22988506,0.37931034,0.061170213,0.07180851,6.0,300.0,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/folha-em-branco.xml,50.0,50.0,50.0,50.0,100.0
